마케팅신업종,,,,,,,,표준산업분류(KSIC10),,,
KBMLC,KBMLN,KBMMC,KBMMN,KBMSC,KBMSN,KBMSSC,KBMSSN,BZC_CD,BZC_NM,BZC_CD1,BZC_CD3
R,소매업,R14,운동/레져용품,R140,NULL,R14011,아이스하키용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14012,야구용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14013,인라인스케이트용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14014,자전거/자전거용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14015,종합체육사,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14016,축구용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14017,테니스용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R14,운동/레져용품,R140,NULL,R14018,헬스기구/용품,G47631,운동 및 경기용품 소매업,G47,G47
R,소매업,R13,완구,R130,NULL,R13001,게임기기,G47640,"게임용구, 인형 및 장난감 소매업",G47,G47
R,소매업,R13,완구,R130,NULL,R13002,장난감/완구전문점,G47640,"게임용구, 인형 및 장난감 소매업",G47,G47
R,소매업,R15,유아용품,R150,NULL,R15001,유아용품,G47640,"게임용구, 인형 및 장난감 소매업",G47,G47
R,소매업,R12,연료소매,R120,NULL,R12002,전기차충전소,G47712,운송장비용 가스 충전업,G47,G47
R,소매업,R12,연료소매,R120,NULL,R12003,주유소,G47711,운송장비용 주유소 운영업,G47,G47
R,소매업,R12,연료소매,R120,NULL,R12004,차량가스충전소,G47712,운송장비용 가스 충전업,G47,G47
R,소매업,R12,연료소매,R120,NULL,R12001,가정용연료,G4772,가정용 연료 소매업,G47,G47
R,소매업,R18,의약/의료기기,R180,NULL,R18004,약국,G47811,의약품 및 의료용품 소매업,G47,G47
R,소매업,R18,의약/의료기기,R180,NULL,R18006,한약방,G47811,의약품 및 의료용품 소매업,G47,G47
R,소매업,R18,의약/의료기기,R180,NULL,R18001,건강보조기구,G47812,의료용 기구 소매업,G47,G47
R,소매업,R18,의약/의료기기,R180,NULL,R18002,보청기,G47812,의료용 기구 소매업,G47,G47
R,소매업,R18,의약/의료기기,R180,NULL,R18005,의료기기/용품,G47812,의료용 기구 소매업,G47,G47
R,소매업,R26,화장품/미용,R260,NULL,R26001,H&B,G47813,"화장품, 비누 및 방향제 소매업",G47,G47
R,소매업,R26,화장품/미용,R260,NULL,R26002,미용재료,G47813,"화장품, 비누 및 방향제 소매업",G47,G47
R,소매업,R26,화장품/미용,R260,NULL,R26003,방향제전문점,G47813,"화장품, 비누 및 방향제 소매업",G47,G47
R,소매업,R26,화장품/미용,R260,NULL,R26004,원브랜드숍,G47813,"화장품, 비누 및 방향제 소매업",G47,G47
